CMDLINE pytest tests/load/
MEM 2.097656 1758917995.6580
MEM 4.179688 1758917995.7585
MEM 4.179688 1758917995.8590
MEM 4.179688 1758917995.9596
MEM 4.179688 1758917996.0600
MEM 4.179688 1758917996.1605
MEM 4.179688 1758917996.2611
MEM 4.179688 1758917996.3620
MEM 4.179688 1758917996.4625
MEM 4.179688 1758917996.5626
MEM 4.179688 1758917996.6632
MEM 4.179688 1758917996.7635
MEM 4.179688 1758917996.8639
MEM 4.179688 1758917996.9644
MEM 4.179688 1758917997.0646
MEM 4.179688 1758917997.1652
MEM 4.179688 1758917997.2658
MEM 4.179688 1758917997.3661
MEM 4.179688 1758917997.4665
MEM 4.179688 1758917997.5672
MEM 4.179688 1758917997.6677
MEM 4.179688 1758917997.7682
MEM 4.179688 1758917997.8687
MEM 4.179688 1758917997.9692
MEM 4.179688 1758917998.0696
MEM 4.179688 1758917998.1698
MEM 4.179688 1758917998.2699
MEM 4.179688 1758917998.3703
MEM 4.179688 1758917998.4708
MEM 4.179688 1758917998.5713
MEM 4.179688 1758917998.6714
MEM 4.179688 1758917998.7718
MEM 4.179688 1758917998.8721
MEM 4.179688 1758917998.9725
MEM 4.179688 1758917999.0729
MEM 4.179688 1758917999.1736
MEM 4.179688 1758917999.2739
